,num_dol,num_dtfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_dtfeg,atoms_tfsi,atoms_ps,atoms_li,count,%
247,6,1,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
248,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,3,0.09000900090009
249,2,1,0,2,2,1O:1O,2O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
250,2,1,0,1,2,1O:1O,2O,,,1L:1L,3,0.09000900090009
251,4,0,2,1,2,:1O:1O:1O,,1N2O2S:1O,,1L:1L,3,0.09000900090009
252,2,0,4,1,2,1O:1O,,1O:1O:1O1S:2O,,1L:1L,3,0.09000900090009
253,5,1,1,1,1,::1O:1O:1O,1O,1O,,1L,3,0.09000900090009
254,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
255,1,2,1,2,2,1O,:2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
256,1,2,1,2,2,1O,:2O,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
257,5,1,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
258,4,0,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
259,3,2,1,2,2,:1O:1O,:2O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
260,5,2,0,1,1,:1O:1O:1O:1O,:,,,1L,3,0.09000900090009
261,1,2,2,2,2,1O,:2O,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
262,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
263,1,3,1,1,1,,::2O,1O,,1L,3,0.09000900090009
264,1,3,1,1,1,1O,::2O,1O,,1L,3,0.09000900090009
265,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O,,1L:1L,3,0.09000900090009
266,2,1,1,2,2,1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
267,1,3,1,2,2,,:2O:2O,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
268,0,2,1,2,2,,2O:2O,2O1S,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
269,7,0,0,1,1,::1O:1O:1O:1O:1O,,,,1L,3,0.09000900090009
270,2,1,1,2,2,1O:1O,2O,1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,3,0.09000900090009
271,4,1,0,1,1,::1O:1O,1O,,,1L,3,0.09000900090009
272,1,1,1,2,2,1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
273,1,2,2,2,2,1O,:2O,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
274,4,1,1,2,2,:1O:1O:1O,2O,,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
275,4,0,2,1,2,1O:1O:1O:1O,,1N2O2S:1O,,1L:1L,2,0.06000600060006
276,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
277,0,2,2,2,2,,:2O,1O:1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
278,4,1,1,1,1,:1O:1O:2O,,1O,,1L,2,0.06000600060006
279,4,3,0,1,1,:::1O,::2O,,,1L,2,0.06000600060006
280,1,2,2,1,2,1O,2O:2O,:1O,,1L:1L,2,0.06000600060006
281,4,3,0,1,1,::1O:1O,::,,,1L,2,0.06000600060006
282,4,1,1,1,1,::1O:1O,,1O1S,,1L,2,0.06000600060006
283,4,3,0,1,1,:1O:1O:1O,::1O,,,1L,2,0.06000600060006
284,4,2,2,1,2,1O:1O:1O:1O,:,1O:1O,,1L:1L,2,0.06000600060006
285,6,0,1,1,1,:::1O:1O:2O,,,,1L,2,0.06000600060006
286,4,0,2,1,2,:1O:1O:1O,,:1O,,1L:1L,2,0.06000600060006
287,3,1,2,1,2,:1O:1O,2O,1O:1O,,1L:1L,2,0.06000600060006
288,4,0,2,1,2,:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
289,0,2,2,2,2,,:2O,1O:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
290,4,1,1,1,1,::1O:2O,,1N1O1S,,1L,2,0.06000600060006
291,3,1,1,1,2,1O:1O:1O,2O,1N2O2S,,1L:1L,2,0.06000600060006
292,3,0,2,1,2,1O:1O:1O,,:1O,,1L:1L,2,0.06000600060006
293,3,0,2,1,2,1O:1O:2O,,1O:2O,,1L:1L,2,0.06000600060006
294,4,2,1,1,1,:::1O,:2O,1O,,1L,2,0.06000600060006
295,4,2,1,1,1,:::,:2O,1O,,1L,2,0.06000600060006
296,4,0,2,1,2,:1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
297,4,2,1,1,1,::1O:1O,:2O,1O,,1L,2,0.06000600060006
298,5,0,0,1,1,::1O:1O:1O,,,,1L,2,0.06000600060006
299,5,0,1,1,1,::1O:1O:1O,,,,1L,2,0.06000600060006
300,2,3,1,2,2,:,:2O:2O,1O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
301,0,2,1,2,2,,2O:2O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
302,3,2,0,1,2,1O:1O:1O,1O:1O,,,1L:1L,2,0.06000600060006
303,1,3,1,1,2,1O,:2O:2O,2O1S,,1L:1L,2,0.06000600060006
304,4,1,1,1,2,::1O:1O,2O,3O2S,,1L:1L,2,0.06000600060006
305,2,3,0,1,1,:,::2O,,,1L,2,0.06000600060006
306,3,3,0,1,1,1O:1O:2O,::,,,1L,2,0.06000600060006
307,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,2,0.06000600060006
308,3,2,0,1,1,::2O,:2O,,,1L,2,0.06000600060006
309,1,3,1,1,2,1O,:1O:2O,1N3O2S,,1L:1L,2,0.06000600060006
310,1,3,1,1,2,1O,1O:2O:2O,1O,,1L:1L,2,0.06000600060006
311,1,3,1,1,1,1O,:1O:2O,,,1L,2,0.06000600060006
312,1,3,1,1,1,,::2O,2O1S,,1L,2,0.06000600060006
313,1,3,1,1,1,,:1O:2O,1O,,1L,2,0.06000600060006
314,2,3,1,2,2,1O:1O,::2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
315,2,3,1,1,1,1O:1O,::1O,1O,,1L,2,0.06000600060006
316,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,2,0.06000600060006
317,2,1,1,2,2,1O:1O,2O,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
318,6,0,0,1,2,:1O:1O:1O:1O:2O,,,,1L:1L,2,0.06000600060006
319,3,3,0,1,1,:1O:2O,::2O,,,1L,2,0.06000600060006
320,5,0,1,1,1,:::1O:1O,,2O1S,,1L,2,0.06000600060006
321,6,0,1,1,1,::1O:1O:1O:1O,,,,1L,2,0.06000600060006
322,1,3,0,1,1,,:1O:2O,,,1L,2,0.06000600060006
323,6,0,1,1,1,::1O:1O:1O:1O,,2O1S,,1L,2,0.06000600060006
324,2,3,1,1,2,1O:1O,:2O:2O,1O,,1L:1L,2,0.06000600060006
325,6,0,1,1,2,:::1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
326,3,0,3,1,2,1O:1O:1O,,1O:1O:2O1S,,1L:1L,2,0.06000600060006
327,3,3,1,1,1,::1O,::2O,,,1L,2,0.06000600060006
328,3,1,1,2,2,:1O:1O,2O,1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
329,3,1,2,1,2,1O:1O:1O,2O,1O:2O1S,,1L:1L,2,0.06000600060006
330,7,0,0,1,1,::::1O:1O:1O,,,,1L,2,0.06000600060006
331,3,1,1,1,1,:1O:1O,1O,2O1S,,1L,2,0.06000600060006
332,3,1,0,2,2,1O:1O:1O,2O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
333,6,1,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,2,0.06000600060006
334,3,1,0,2,2,1O:1O:1O,2O,,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
335,4,0,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,2,0.06000600060006
336,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
337,6,1,1,1,1,::1O:1O:1O:1O,,,,1L,2,0.06000600060006
338,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
339,4,1,1,1,2,1O:1O:1O:1O,2O,2O,,1L:1L,2,0.06000600060006
340,4,2,0,1,1,:1O:1O:1O,:2O,,,1L,2,0.06000600060006
341,6,1,1,1,1,:::1O:1O:1O,,,,1L,2,0.06000600060006
342,1,2,0,1,2,1O,2O:2O,,,1L:1L,2,0.06000600060006
343,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
344,4,0,1,1,2,:1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
345,4,0,1,1,2,1O:1O:1O:1O,,1O1S,,1L:1L,2,0.06000600060006
346,6,2,0,1,1,:::1O:1O:1O,:,,,1L,2,0.06000600060006
347,4,0,2,1,2,1O:1O:1O:1O,,:1O,,1L:1L,2,0.06000600060006
348,4,1,1,1,2,1O:1O:1O:2O,2O,,,1L:1L,2,0.06000600060006
349,4,0,2,1,2,1O:1O:1O:1O,,1O:3O1S,,1L:1L,2,0.06000600060006
350,4,1,2,1,2,:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
351,6,1,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
352,4,0,1,1,2,1O:1O:1O:2O,,2O,,1L:1L,2,0.06000600060006
353,4,1,1,1,2,:1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
354,3,1,1,2,2,:1O:1O,2O,1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
355,3,1,1,1,1,:1O:2O,,1O,,1L,2,0.06000600060006
356,1,2,1,1,1,1O,:2O,1O,,1L,2,0.06000600060006
357,4,0,2,1,2,1O:1O:1O:2O,,2O:2O1S,,1L:1L,2,0.06000600060006
358,4,0,0,1,1,:1O:1O:1O,,,,1L,2,0.06000600060006
359,3,1,1,2,2,1O:1O:1O,2O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
360,0,2,2,2,2,,:2O,1O:2O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
361,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:1O,,1L:1L,2,0.06000600060006
362,3,0,4,1,2,1O:1O:1O,,1O:1O:2O:2O,,1L:1L,2,0.06000600060006
363,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
364,1,2,1,2,2,1O,:2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
365,4,1,2,1,1,::1O:1O,,:1O,,1L,2,0.06000600060006
366,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O,,1L:1L,2,0.06000600060006
367,4,0,2,1,2,:1O:1O:1O,,1N3O1S:1O,,1L:1L,2,0.06000600060006
368,3,0,4,1,2,:1O:1O,,1O:1O:1O:2O1S,,1L:1L,2,0.06000600060006
369,3,1,2,1,2,1O:1O:1O,,1O:3O1S,,1L:1L,2,0.06000600060006
370,4,2,0,2,2,:1O:1O:2O,:2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,2,0.06000600060006
371,1,2,1,1,2,,2O:2O,2O,,1L:1L,2,0.06000600060006
372,2,2,2,2,2,:1O,:2O,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
373,3,1,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
374,1,2,1,1,2,2O,2O:2O,2O,,1L:1L,2,0.06000600060006
375,4,0,1,1,2,:1O:1O:1O,,3O1S,,1L:1L,2,0.06000600060006
376,0,3,1,1,1,,::2O,1O,,1L,2,0.06000600060006
377,6,0,2,1,2,::1O:1O:1O:2O,,1O:1O,,1L:1L,2,0.06000600060006
378,1,2,1,1,2,1O,2O:2O,1N1O1S,,1L:1L,2,0.06000600060006
379,3,1,1,2,2,:1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
380,3,1,2,1,2,1O:1O:1O,,1N3O2S:1O,,1L:1L,2,0.06000600060006
381,4,1,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
382,6,1,0,1,1,:::1O:1O:1O,,,,1L,2,0.06000600060006
383,2,1,1,2,2,1O:2O,2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
384,2,3,1,1,1,:,:1O:2O,1O,,1L,2,0.06000600060006
385,2,2,0,2,2,1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
386,2,2,0,1,1,:,:2O,,,1L,2,0.06000600060006
387,5,0,2,1,2,:1O:1O:1O:2O,,1N3O2S:2O1S,,1L:1L,2,0.06000600060006
388,5,1,0,1,1,::1O:1O:2O,,,,1L,2,0.06000600060006
389,4,1,0,2,2,:1O:1O:1O,2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,2,0.06000600060006
390,5,0,2,1,2,:1O:1O:1O:1O,,:1N1O1S,,1L:1L,2,0.06000600060006
391,2,2,1,1,2,1O:1O,:2O,1O,,1L:1L,2,0.06000600060006
392,5,1,0,1,1,::1O:1O:2O,2O,,,1L,2,0.06000600060006
393,3,2,1,1,2,::1O,2O:2O,2O,,1L:1L,2,0.06000600060006
394,1,4,1,2,2,1O,:::2O,1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
395,2,2,1,1,2,1O:1O,:2O,2O1S,,1L:1L,2,0.06000600060006
396,5,0,2,1,2,:1O:1O:1O:1O,,1O:3O1S,,1L:1L,2,0.06000600060006
397,5,1,0,1,1,::1O:2O:2O,,,,1L,2,0.06000600060006
398,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
399,2,2,0,1,1,1O:1O,1O:2O,,,1L,2,0.06000600060006
400,2,1,2,2,2,:1O,2O,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
401,5,1,0,1,1,:::1O:1O,,,,1L,2,0.06000600060006
402,3,2,0,2,2,1O:1O:2O,:2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
403,5,1,0,1,1,:::1O:1O,1O,,,1L,2,0.06000600060006
404,2,1,1,2,2,1O:1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
405,2,2,1,1,2,:1O,2O:2O,1O1S,,1L:1L,2,0.06000600060006
406,5,1,0,1,1,:::1O:2O,,,,1L,2,0.06000600060006
407,3,2,1,1,1,::1O,:2O,2O,,1L,2,0.06000600060006
408,1,4,1,1,1,,:::2O,1O,,1L,2,0.06000600060006
409,2,1,2,2,2,1O:1O,2O,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
410,2,2,1,1,2,1O:1O,2O:2O,1O1S,,1L:1L,2,0.06000600060006
411,4,1,0,1,1,::1O:1O,,,,1L,2,0.06000600060006
412,2,2,1,1,2,:1O,2O:2O,3O1S,,1L:1L,2,0.06000600060006
413,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O,,1L:1L,2,0.06000600060006
414,3,2,1,1,1,1O:1O:1O,:2O,,,1L,2,0.06000600060006
415,4,1,0,1,2,::1O:1O,2O,,,1L:1L,2,0.06000600060006
416,2,2,1,1,1,1O:1O,:1O,1O,,1L,2,0.06000600060006
417,2,1,1,1,1,1O:1O,1O,1O,,1L,2,0.06000600060006
418,2,1,0,2,2,1O:1O,2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,2,0.06000600060006
419,5,1,1,1,2,:1O:1O:1O:1O,,1O1S,,1L:1L,2,0.06000600060006
420,2,2,1,1,1,1O:1O,:2O,1O,,1L,2,0.06000600060006
421,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
422,5,1,0,1,1,1O:1O:1O:1O:1O,,,,1L,2,0.06000600060006
423,5,1,1,1,1,::::1O,2O,,,1L,2,0.06000600060006
424,2,2,0,2,1,:1O,:1O,,2S:3S:3S:3S:3S:3S:3S:4S,1L,2,0.06000600060006
425,4,1,0,2,2,1O:1O:1O:1O,2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
426,2,2,1,1,1,1O:2O,:1O,1O,,1L,2,0.06000600060006
427,2,1,1,1,2,1O:1O,2O,1O,,1L:1L,2,0.06000600060006
428,2,1,1,1,2,1O:2O,2O,1O,,1L:1L,2,0.06000600060006
429,4,1,0,1,1,:1O:1O:1O,1O,,,1L,2,0.06000600060006
430,4,1,0,1,1,:1O:1O:1O,2O,,,1L,2,0.06000600060006
431,3,2,0,2,2,:1O:1O,:2O,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
432,5,0,1,1,2,::1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
433,4,1,0,1,1,:1O:1O:2O,1O,,,1L,2,0.06000600060006
434,3,2,1,1,2,:1O:1O,:2O,1N2O2S,,1L:1L,2,0.06000600060006
435,2,0,4,1,2,1O:1O,,1O:1O:2O:2O,,1L:1L,2,0.06000600060006
436,5,0,2,1,2,::1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
437,3,2,1,1,1,:1O:1O,:2O,,,1L,2,0.06000600060006
438,2,1,1,2,2,1O:1O,2O,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
439,5,1,0,1,2,::1O:1O:1O,2O,,,1L:1L,2,0.06000600060006
440,5,2,1,1,1,:::1O:1O,:,1O,,1L,2,0.06000600060006
441,1,3,1,2,2,1O,::2O,1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
442,1,3,1,2,2,1O,::2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
443,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
444,5,1,1,1,1,::1O:1O:1O,,,,1L,2,0.06000600060006
445,1,3,1,2,2,1O,::2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
446,5,0,2,1,1,:::1O:1O,,:1O,,1L,2,0.06000600060006
447,5,1,0,2,2,::1O:1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
448,3,2,0,2,2,1O:1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
449,2,2,1,2,2,:1O,:2O,2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
450,5,0,1,2,2,:1O:1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
451,2,1,1,2,2,1O:1O,2O,1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
452,4,1,0,2,2,::1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
453,4,1,0,2,2,::1O:1O,2O,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
454,2,2,2,1,1,1O:1O,:,1O:1O1S,,1L,2,0.06000600060006
455,5,1,0,2,2,::1O:1O:1O,2O,,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
456,3,2,0,1,2,::1O,2O:2O,,,1L:1L,2,0.06000600060006
457,5,0,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
458,2,2,2,1,1,:,:2O,:1O,,1L,2,0.06000600060006
459,2,1,1,2,2,:1O,2O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
460,5,1,1,1,1,:1O:1O:1O:1O,,1O,,1L,2,0.06000600060006
461,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
462,3,2,1,1,2,1O:1O:1O,:2O,2O2S,,1L:1L,2,0.06000600060006
463,2,1,2,1,2,1O:1O,2O,1O:2O,,1L:1L,2,0.06000600060006
464,3,2,1,1,1,::,1O:2O,1O,,1L,2,0.06000600060006
465,5,0,2,1,2,:1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,2,0.06000600060006
466,5,1,0,1,2,::1O:1O:2O,2O,,,1L:1L,2,0.06000600060006
467,2,1,2,1,2,1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
468,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,2,0.06000600060006
469,3,2,1,2,2,:1O:1O,:2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
470,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,2,0.06000600060006
471,2,1,1,2,2,1O:1O,2O,1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
472,2,2,1,2,2,1O:1O,:2O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
473,4,1,1,1,2,:1O:1O:2O,2O,1N1O1S,,1L:1L,1,0.03000300030003
474,4,1,1,1,2,::1O:1O,,1N3O2S,,1L:1L,1,0.03000300030003
475,4,1,1,1,2,::1O:1O,,1O1S,,1L:1L,1,0.03000300030003
476,4,1,0,1,2,1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
477,4,1,0,1,1,1O:1O:1O:1O,1O,,,1L,1,0.03000300030003
478,4,1,1,1,2,::1O:2O,2O,1N2O2S,,1L:1L,1,0.03000300030003
479,4,1,1,1,2,::1O:1O,2O,1O,,1L:1L,1,0.03000300030003
480,4,1,1,1,2,:1O:1O:1O,2O,1O1S,,1L:1L,1,0.03000300030003
481,4,1,1,1,2,::1O:1O,2O,2O,,1L:1L,1,0.03000300030003
482,4,1,1,1,2,::1O:1O,2O,2O1S,,1L:1L,1,0.03000300030003
