,num_dol,num_eee,num_tfsi,num_ps,num_li,atoms_dol,atoms_eee,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,2,0,1,1,::1O,:3O,,,1L,101,3.0303030303030303
1,2,3,0,1,1,:1O,::3O,,,1L,93,2.7902790279027903
2,3,3,0,1,1,::1O,::3O,,,1L,72,2.16021602160216
3,1,2,0,1,2,1O,3O:3O,,,1L:1L,56,1.6801680168016802
4,2,2,0,1,2,1O:1O,2O:3O,,,1L:1L,55,1.6501650165016502
5,2,2,0,1,1,:1O,:3O,,,1L,52,1.56015601560156
6,3,2,0,1,1,:1O:1O,:3O,,,1L,44,1.32013201320132
7,3,3,0,1,1,::1O,::2O,,,1L,43,1.29012901290129
8,3,2,0,1,1,::1O,:2O,,,1L,42,1.26012601260126
9,4,2,0,1,1,:::1O,:3O,,,1L,41,1.23012301230123
10,2,4,0,1,1,:1O,:::3O,,,1L,38,1.14011401140114
11,2,3,0,1,1,:1O,::2O,,,1L,37,1.11011101110111
12,2,2,0,1,2,:1O,3O:3O,,,1L:1L,34,1.02010201020102
13,2,4,0,1,1,:1O,:::2O,,,1L,31,0.93009300930093
14,1,4,0,1,1,1O,:::3O,,,1L,29,0.8700870087008701
15,4,2,0,1,1,:::1O,:2O,,,1L,29,0.8700870087008701
16,2,3,0,1,1,1O:1O,::3O,,,1L,26,0.7800780078007801
17,1,3,0,1,1,1O,::3O,,,1L,26,0.7800780078007801
18,3,3,0,1,1,:1O:1O,::2O,,,1L,25,0.7500750075007501
19,4,2,0,1,1,::1O:1O,:2O,,,1L,23,0.6900690069006901
20,1,2,1,1,2,1O,2O:3O,1O,,1L:1L,23,0.6900690069006901
21,3,1,1,1,2,1O:1O:1O,3O,1O,,1L:1L,23,0.6900690069006901
22,4,1,0,1,1,::1O:1O,3O,,,1L,22,0.6600660066006601
23,2,2,0,1,2,1O:1O,3O:3O,,,1L:1L,22,0.6600660066006601
24,4,2,0,1,1,::1O:1O,:3O,,,1L,20,0.6000600060006
25,4,1,0,1,1,:::1O,3O,,,1L,19,0.57005700570057
26,2,3,0,1,1,:,::3O,,,1L,19,0.57005700570057
27,2,3,0,1,1,:1O,:1O:3O,,,1L,19,0.57005700570057
28,2,2,0,1,1,1O:1O,:3O,,,1L,17,0.51005100510051
29,2,3,0,1,1,1O:1O,::2O,,,1L,16,0.48004800480048
30,1,4,0,1,1,,:::3O,,,1L,16,0.48004800480048
31,3,3,0,1,1,::,::3O,,,1L,15,0.45004500450045
32,4,3,0,1,1,:::1O,::2O,,,1L,15,0.45004500450045
33,3,2,0,1,1,:1O:1O,:2O,,,1L,14,0.42004200420042
34,1,3,0,1,1,,::3O,,,1L,14,0.42004200420042
35,4,3,0,1,1,:::1O,::3O,,,1L,14,0.42004200420042
36,3,2,0,1,1,::,:3O,,,1L,13,0.39003900390039
37,2,2,0,1,1,:,:3O,,,1L,13,0.39003900390039
38,3,3,0,1,1,:1O:1O,::3O,,,1L,12,0.36003600360036
39,3,2,0,1,1,::1O,1O:3O,,,1L,11,0.33003300330033
40,0,4,0,1,1,,:::3O,,,1L,11,0.33003300330033
41,3,4,0,1,1,::1O,:::3O,,,1L,11,0.33003300330033
42,2,2,0,1,2,:1O,2O:3O,,,1L:1L,11,0.33003300330033
43,2,2,0,1,1,:1O,:2O,,,1L,11,0.33003300330033
44,1,3,0,1,2,1O,:2O:3O,,,1L:1L,11,0.33003300330033
45,1,3,0,1,2,1O,:3O:3O,,,1L:1L,11,0.33003300330033
46,4,2,0,1,1,::1O:1O,:,,,1L,11,0.33003300330033
47,2,3,0,1,1,:1O,:1O:2O,,,1L,10,0.3000300030003
48,3,3,0,1,1,::1O,:1O:3O,,,1L,10,0.3000300030003
49,3,2,0,1,2,:1O:1O,2O:2O,,,1L:1L,10,0.3000300030003
50,3,2,0,1,2,:1O:1O,2O:3O,,,1L:1L,10,0.3000300030003
51,4,1,1,1,2,:1O:1O:1O,3O,1O,,1L:1L,10,0.3000300030003
52,3,4,0,1,1,::1O,:::2O,,,1L,10,0.3000300030003
53,2,2,0,1,1,:1O,1O:3O,,,1L,10,0.3000300030003
54,1,2,0,1,2,1O,2O:3O,,,1L:1L,10,0.3000300030003
55,2,2,1,1,1,:,:3O,1O,,1L,10,0.3000300030003
56,5,2,0,1,1,:::1O:1O,:2O,,,1L,10,0.3000300030003
57,3,1,0,1,1,::1O,3O,,,1L,9,0.27002700270027
58,4,3,0,1,1,::1O:1O,::2O,,,1L,9,0.27002700270027
59,1,3,0,1,1,1O,:1O:3O,,,1L,9,0.27002700270027
60,2,4,0,1,1,:,:::3O,,,1L,9,0.27002700270027
61,5,1,0,1,1,:::1O:1O,3O,,,1L,9,0.27002700270027
62,4,2,0,1,1,:1O:1O:1O,:2O,,,1L,9,0.27002700270027
63,2,2,1,1,2,:1O,2O:3O,1O,,1L:1L,8,0.24002400240024
64,5,2,0,1,1,::::1O,:2O,,,1L,8,0.24002400240024
65,1,3,0,1,1,1O,::2O,,,1L,8,0.24002400240024
66,1,2,1,1,2,1O,3O:3O,1O,,1L:1L,8,0.24002400240024
67,3,2,1,1,2,1O:1O:1O,:3O,1O,,1L:1L,8,0.24002400240024
68,1,2,1,1,2,1O,2O:3O,2O1S,,1L:1L,8,0.24002400240024
69,5,2,0,1,1,:::1O:1O,:3O,,,1L,8,0.24002400240024
70,3,2,0,2,1,::,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,8,0.24002400240024
71,2,3,0,2,1,:,::2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,8,0.24002400240024
72,3,4,0,1,1,:1O:1O,:::2O,,,1L,8,0.24002400240024
73,3,2,0,1,1,:1O:1O,:,,,1L,7,0.21002100210021
74,4,2,1,1,1,:1O:1O:1O,:,1O,,1L,7,0.21002100210021
75,2,4,0,1,1,:1O,::1O:3O,,,1L,7,0.21002100210021
76,5,2,0,1,1,::::1O,:3O,,,1L,7,0.21002100210021
77,3,3,1,1,1,:1O:1O,::,1O,,1L,7,0.21002100210021
78,5,1,0,1,1,::1O:1O:1O,,,,1L,7,0.21002100210021
79,2,2,1,1,2,1O:1O,2O:3O,,,1L:1L,7,0.21002100210021
80,2,3,0,1,1,1O:1O,:1O:2O,,,1L,7,0.21002100210021
81,2,4,0,1,1,1O:1O,:::3O,,,1L,7,0.21002100210021
82,2,2,1,1,2,1O:1O,:3O,1O,,1L:1L,7,0.21002100210021
83,4,1,0,1,1,:::1O,2O,,,1L,7,0.21002100210021
84,2,4,0,1,1,1O:1O,:::2O,,,1L,7,0.21002100210021
85,3,2,1,1,1,::1O,:2O,,,1L,7,0.21002100210021
86,3,3,0,1,1,:1O:1O,::,,,1L,7,0.21002100210021
87,5,1,1,1,1,:::1O:1O,,1O,,1L,7,0.21002100210021
88,2,3,1,1,1,:1O,::3O,,,1L,6,0.18001800180018
89,1,5,0,1,1,1O,::::3O,,,1L,6,0.18001800180018
90,3,1,0,1,1,::,3O,,,1L,6,0.18001800180018
91,2,2,1,1,1,:,:3O,,,1L,6,0.18001800180018
92,4,2,1,1,1,::1O:1O,:,1O,,1L,6,0.18001800180018
93,4,1,0,1,2,1O:1O:1O:1O,3O,,,1L:1L,6,0.18001800180018
94,1,4,0,2,1,,:::2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,6,0.18001800180018
95,1,4,0,1,1,1O,::1O:3O,,,1L,6,0.18001800180018
96,3,1,0,1,1,:1O:1O,3O,,,1L,6,0.18001800180018
97,2,2,1,1,2,:1O,2O:2O,1O,,1L:1L,6,0.18001800180018
98,3,3,0,1,1,::1O,:1O:2O,,,1L,6,0.18001800180018
99,1,3,1,1,2,1O,:2O:2O,1O,,1L:1L,6,0.18001800180018
100,3,1,1,1,2,1O:1O:1O,2O,1O,,1L:1L,6,0.18001800180018
101,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,6,0.18001800180018
102,2,2,0,1,1,1O:1O,:2O,,,1L,6,0.18001800180018
103,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,6,0.18001800180018
104,3,2,0,2,1,::1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,6,0.18001800180018
105,3,2,1,1,1,:1O:1O,:,1O,,1L,6,0.18001800180018
106,2,3,1,1,1,:,::3O,1O,,1L,5,0.15001500150015
107,1,4,0,1,1,1O,:::2O,,,1L,5,0.15001500150015
108,5,1,0,1,1,::::1O,3O,,,1L,5,0.15001500150015
109,3,2,1,1,1,::1O,:3O,1O,,1L,5,0.15001500150015
110,4,1,1,1,1,:1O:1O:1O,,1O,,1L,5,0.15001500150015
111,0,2,1,1,2,,3O:3O,1O,,1L:1L,5,0.15001500150015
112,3,3,1,1,1,::1O,::2O,,,1L,5,0.15001500150015
113,2,2,1,1,1,:1O,:3O,1O,,1L,5,0.15001500150015
114,2,2,0,1,2,1O:1O,2O:2O,,,1L:1L,5,0.15001500150015
115,3,3,0,1,1,1O:1O:1O,::,,,1L,5,0.15001500150015
116,1,2,0,1,1,1O,:3O,,,1L,5,0.15001500150015
117,1,2,0,1,2,,3O:3O,,,1L:1L,5,0.15001500150015
118,3,2,1,1,1,::1O,:3O,,,1L,5,0.15001500150015
119,2,5,0,1,1,:1O,::::3O,,,1L,5,0.15001500150015
120,4,2,0,1,1,:1O:1O:1O,:,,,1L,5,0.15001500150015
121,3,2,0,1,1,::1O,:,,,1L,5,0.15001500150015
122,5,2,0,1,1,::1O:1O:1O,:,,,1L,5,0.15001500150015
123,2,3,0,1,2,1O:1O,:2O:3O,,,1L:1L,5,0.15001500150015
124,2,3,0,1,1,:,:1O:3O,,,1L,5,0.15001500150015
125,2,3,0,1,1,1O:1O,:1O:3O,,,1L,4,0.12001200120012
126,2,2,1,1,1,:1O,:3O,,,1L,4,0.12001200120012
127,5,1,1,1,1,::1O:1O:1O,,1O,,1L,4,0.12001200120012
128,5,2,0,1,1,:::1O:1O,:,,,1L,4,0.12001200120012
129,5,1,0,1,1,:::1O:1O,2O,,,1L,4,0.12001200120012
130,2,2,1,1,1,:1O,:2O,,,1L,4,0.12001200120012
131,2,4,0,1,1,:1O,::1O:2O,,,1L,4,0.12001200120012
132,4,3,0,1,1,:::1O,::,,,1L,4,0.12001200120012
133,4,3,0,1,1,::1O:1O,::3O,,,1L,4,0.12001200120012
134,2,3,0,1,2,:1O,:3O:3O,,,1L:1L,4,0.12001200120012
135,2,2,0,1,1,:2O,:3O,,,1L,4,0.12001200120012
136,2,1,1,1,1,:1O,3O,,,1L,4,0.12001200120012
137,4,3,0,1,1,:1O:1O:1O,::,,,1L,4,0.12001200120012
138,2,1,0,2,2,1O:1O,3O,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
139,2,3,1,1,1,:,::2O,1O,,1L,4,0.12001200120012
140,3,3,0,1,1,:1O:1O,:1O:2O,,,1L,4,0.12001200120012
141,3,1,1,1,2,1O:1O:1O,3O,2O1S,,1L:1L,4,0.12001200120012
142,3,2,0,1,1,:1O:1O,1O:2O,,,1L,4,0.12001200120012
143,1,3,0,2,1,,:1O:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,4,0.12001200120012
144,1,3,1,1,1,1O,::3O,1O,,1L,4,0.12001200120012
145,3,2,0,1,1,:1O:1O,1O:3O,,,1L,4,0.12001200120012
146,3,3,0,1,1,::1O,::,,,1L,4,0.12001200120012
147,1,3,1,1,2,1O,:2O:3O,1O,,1L:1L,4,0.12001200120012
148,3,4,0,1,1,::1O,::1O:2O,,,1L,4,0.12001200120012
149,3,4,0,1,1,:1O:1O,:::3O,,,1L,4,0.12001200120012
150,4,1,0,1,2,1O:1O:1O:2O,3O,,,1L:1L,4,0.12001200120012
151,0,3,1,1,2,,:2O:3O,1O,,1L:1L,4,0.12001200120012
152,3,2,0,1,1,::1O,1O:2O,,,1L,4,0.12001200120012
153,3,2,0,1,1,::1O,:1O,,,1L,4,0.12001200120012
154,0,3,0,1,1,,::3O,,,1L,4,0.12001200120012
155,4,2,0,1,1,:::2O,:3O,,,1L,4,0.12001200120012
156,4,2,0,1,2,1O:1O:1O:1O,:3O,,,1L:1L,4,0.12001200120012
157,4,2,0,1,2,::1O:1O,2O:3O,,,1L:1L,4,0.12001200120012
158,3,1,0,2,2,1O:1O:1O,2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
159,3,1,1,1,2,1O:1O:2O,3O,1O,,1L:1L,4,0.12001200120012
160,3,1,0,1,2,1O:1O:2O,3O,,,1L:1L,4,0.12001200120012
161,3,1,0,1,1,::1O,2O,,,1L,4,0.12001200120012
162,4,1,0,1,1,::1O:1O,2O,,,1L,4,0.12001200120012
163,4,2,1,1,1,:1O:1O:1O,:,,,1L,4,0.12001200120012
164,1,3,1,1,1,,::3O,1O,,1L,4,0.12001200120012
165,4,2,0,1,1,::1O:1O,:1O,,,1L,4,0.12001200120012
166,4,2,0,1,1,::1O:1O,1O:2O,,,1L,4,0.12001200120012
167,4,1,0,1,2,:1O:1O:1O,3O,,,1L:1L,3,0.09000900090009
168,3,2,1,1,1,:1O:1O,:1O,2O1S,,1L,3,0.09000900090009
169,3,2,1,1,1,:1O:1O,:2O,,,1L,3,0.09000900090009
170,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,3,0.09000900090009
171,2,2,1,1,2,:1O,2O:3O,,,1L:1L,3,0.09000900090009
172,3,2,1,1,1,:1O:1O,:,2O1S,,1L,3,0.09000900090009
173,4,1,0,2,2,:1O:1O:1O,2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
174,4,1,0,2,2,:1O:1O:1O,2O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
175,4,1,0,2,2,:1O:1O:1O,3O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
176,4,1,0,1,1,:::,3O,,,1L,3,0.09000900090009
177,2,5,0,1,1,:1O,::::2O,,,1L,3,0.09000900090009
178,3,2,1,1,2,:1O:1O,2O:2O,1O,,1L:1L,3,0.09000900090009
179,4,1,0,1,1,:1O:1O:1O,,,,1L,3,0.09000900090009
180,3,3,0,1,1,1O:1O:1O,::1O,,,1L,3,0.09000900090009
181,2,2,1,2,2,:1O,:3O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
182,3,3,0,1,1,:1O:1O,:1O:3O,,,1L,3,0.09000900090009
183,5,1,0,1,1,::1O:1O:1O,3O,,,1L,3,0.09000900090009
184,3,3,0,1,1,:1O:1O,::1O,,,1L,3,0.09000900090009
185,3,4,0,1,0,::,:::,,,,3,0.09000900090009
186,3,3,1,1,1,::1O,::3O,1O,,1L,3,0.09000900090009
187,3,3,1,1,1,::1O,::3O,,,1L,3,0.09000900090009
188,3,3,1,1,1,:1O:1O,::1O,1O,,1L,3,0.09000900090009
189,3,3,1,1,1,::1O,::,,,1L,3,0.09000900090009
190,3,3,1,1,1,:1O:1O,::2O,,,1L,3,0.09000900090009
191,2,2,1,1,1,:,:2O,1O,,1L,3,0.09000900090009
192,5,1,0,1,1,::::1O,2O,,,1L,3,0.09000900090009
193,2,2,1,2,2,1O:1O,:3O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
194,3,2,0,1,1,:1O:2O,:2O,,,1L,3,0.09000900090009
195,4,4,0,1,1,:::1O,:::2O,,,1L,3,0.09000900090009
196,2,3,1,1,1,:1O,::2O,,,1L,3,0.09000900090009
197,3,1,1,1,2,1O:1O:1O,2O,1O1S,,1L:1L,3,0.09000900090009
198,4,2,0,1,1,:::,:3O,,,1L,3,0.09000900090009
199,2,3,1,1,1,:,::3O,,,1L,3,0.09000900090009
200,2,2,0,2,2,1O:1O,:3O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
201,3,1,1,1,1,::1O,2O,,,1L,3,0.09000900090009
202,2,3,1,1,1,:1O,::,,,1L,3,0.09000900090009
203,4,2,0,1,1,:::1O,1O:3O,,,1L,3,0.09000900090009
204,4,3,0,2,1,::1O:1O,::,,1S:1S:1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
205,2,3,1,1,1,:1O,::2O,1O,,1L,3,0.09000900090009
206,4,2,0,2,1,:::1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
207,4,2,1,1,1,:::1O,:3O,,,1L,3,0.09000900090009
208,3,1,0,1,1,1O:1O:1O,2O,,,1L,3,0.09000900090009
209,2,4,0,2,1,:,:::2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
210,4,2,1,1,1,:::,:3O,1O,,1L,3,0.09000900090009
211,3,1,1,1,2,1O:1O:1O,3O,1O1S,,1L:1L,3,0.09000900090009
212,3,1,1,1,2,1O:1O:1O,3O,2O,,1L:1L,3,0.09000900090009
213,4,1,1,1,1,:1O:1O:1O,,2O,,1L,3,0.09000900090009
214,4,3,1,1,1,::1O:1O,::,1O,,1L,3,0.09000900090009
215,3,2,0,1,2,:1O:1O,3O:3O,,,1L:1L,3,0.09000900090009
216,3,2,0,1,2,1O:1O:1O,2O:3O,,,1L:1L,3,0.09000900090009
217,4,1,1,1,1,:::1O,3O,,,1L,3,0.09000900090009
218,2,3,0,1,1,1O:2O,::3O,,,1L,3,0.09000900090009
219,3,2,0,1,1,::2O,:3O,,,1L,3,0.09000900090009
220,4,2,1,1,1,::1O:2O,:,1O,,1L,3,0.09000900090009
221,2,3,0,1,1,:2O,::2O,,,1L,3,0.09000900090009
222,2,3,0,2,1,:1O,::2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
223,3,2,0,1,1,1O:1O:1O,:,,,1L,3,0.09000900090009
224,2,3,0,1,2,:1O,:2O:3O,,,1L:1L,3,0.09000900090009
225,3,1,1,2,2,:1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
226,3,1,1,2,2,1O:1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
227,2,3,0,2,1,:,::3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
228,4,3,0,2,1,::1O:1O,::,,2S:2S:2S:3S:3S:3S:3S:3S,1L,3,0.09000900090009
229,3,1,1,1,1,::1O,3O,,,1L,3,0.09000900090009
230,0,2,0,1,2,,3O:3O,,,1L:1L,3,0.09000900090009
231,6,1,0,1,1,::1O:1O:1O:2O,,,,1L,3,0.09000900090009
232,7,0,0,1,1,::::1O:1O:1O,,,,1L,3,0.09000900090009
233,1,3,1,1,1,,::2O,1O,,1L,3,0.09000900090009
234,2,2,0,1,1,1O:2O,:3O,,,1L,3,0.09000900090009
235,2,2,0,1,1,1O:1O,1O:3O,,,1L,3,0.09000900090009
236,1,2,1,1,2,1O,2O:2O,2O1S,,1L:1L,3,0.09000900090009
237,5,3,0,1,1,::1O:1O:2O,::,,,1L,3,0.09000900090009
238,2,2,0,1,1,1O:1O,1O:2O,,,1L,3,0.09000900090009
239,5,2,0,2,1,::1O:1O:1O,:,,2S:2S:2S:2S:2S:2S:2S:2S,1L,3,0.09000900090009
240,5,2,0,1,1,:1O:1O:1O:1O,:,,,1L,3,0.09000900090009
241,2,1,1,2,2,1O:1O,3O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
242,5,2,1,1,1,:::1O:1O,:,2O1S,,1L,3,0.09000900090009
243,0,3,1,1,2,,:3O:3O,1O,,1L:1L,3,0.09000900090009
244,2,1,1,1,2,1O:1O,3O,2O1S,,1L:1L,3,0.09000900090009
245,2,1,1,1,2,1O:1O,3O,2O,,1L:1L,3,0.09000900090009
246,1,4,1,1,1,1O,::1O:2O,,,1L,3,0.09000900090009
247,1,4,1,1,1,1O,:::2O,,,1L,3,0.09000900090009
248,5,2,0,1,1,::::1O,:,,,1L,3,0.09000900090009
249,1,5,0,1,1,,::::3O,,,1L,3,0.09000900090009
250,1,2,0,1,1,,1O:3O,,,1L,3,0.09000900090009
251,1,5,0,1,1,1O,::::1O,,,1L,3,0.09000900090009
252,1,5,0,1,1,1O,::::2O,,,1L,3,0.09000900090009
253,6,0,0,1,1,:1O:1O:1O:1O:1O,,,,1L,3,0.09000900090009
254,1,4,0,1,1,1O,::1O:2O,,,1L,3,0.09000900090009
255,0,2,1,1,2,,2O:3O,1O,,1L:1L,3,0.09000900090009
256,6,1,0,1,1,::1O:1O:1O:1O,1O,,,1L,3,0.09000900090009
257,1,2,1,2,2,1O,:3O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
258,1,2,1,1,2,1O,2O:3O,1O1S,,1L:1L,3,0.09000900090009
259,6,1,0,1,1,:::1O:1O:1O,,,,1L,3,0.09000900090009
260,5,2,1,1,1,:::1O:1O,:,1O1S,,1L,2,0.06000600060006
261,6,1,1,1,1,::1O:1O:1O:1O,,,,1L,2,0.06000600060006
262,3,2,0,1,1,:1O:1O,:1O,,,1L,2,0.06000600060006
263,1,3,0,2,1,,::2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
264,2,4,0,2,1,:1O,:::,,2S:2S:2S:2S:2S:2S:2S:2S,1L,2,0.06000600060006
265,5,2,1,1,1,::1O:1O:1O,:,1O,,1L,2,0.06000600060006
266,4,2,1,1,1,::1O:1O,:3O,,,1L,2,0.06000600060006
267,4,2,1,1,1,::1O:1O,:2O,,,1L,2,0.06000600060006
268,4,2,1,1,1,::1O:1O,:1O,1O1S,,1L,2,0.06000600060006
269,2,4,1,1,1,:1O,:::3O,,,1L,2,0.06000600060006
270,4,1,1,1,2,:1O:1O:1O,2O,2O1S,,1L:1L,2,0.06000600060006
271,3,1,0,1,1,:1O:1O,,,,1L,2,0.06000600060006
272,1,4,1,1,1,,:::3O,1O,,1L,2,0.06000600060006
273,1,2,1,1,1,,:2O,1O,,1L,2,0.06000600060006
274,3,2,0,1,1,::2O,:2O,,,1L,2,0.06000600060006
275,1,4,1,1,1,,:::3O,,,1L,2,0.06000600060006
276,3,2,1,1,1,::,:3O,1O,,1L,2,0.06000600060006
277,3,2,1,1,1,::,:2O,1O1S,,1L,2,0.06000600060006
278,3,2,1,1,1,::,:2O,1O,,1L,2,0.06000600060006
279,5,2,1,1,1,:::1O:1O,:,1O,,1L,2,0.06000600060006
280,3,2,0,1,2,::1O,2O:3O,,,1L:1L,2,0.06000600060006
281,4,2,1,1,1,:::1O,:2O,,,1L,2,0.06000600060006
282,1,3,0,1,1,,:1O:3O,,,1L,2,0.06000600060006
283,2,4,0,1,1,1O:1O,:::,,,1L,2,0.06000600060006
284,2,3,1,1,1,:,::2O,2O1S,,1L,2,0.06000600060006
285,1,2,2,1,1,,:2O,:1O,,1L,2,0.06000600060006
286,2,3,1,1,1,:1O,::3O,1O,,1L,2,0.06000600060006
287,4,1,0,1,1,:1O:1O:1O,2O,,,1L,2,0.06000600060006
288,1,5,0,1,1,1O,::::,,,1L,2,0.06000600060006
289,4,1,0,1,1,::1O:1O,,,,1L,2,0.06000600060006
290,4,1,0,1,1,::1O:1O,1O,,,1L,2,0.06000600060006
291,6,2,0,1,1,::1O:1O:1O:1O,:,,,1L,2,0.06000600060006
292,4,1,0,1,1,::1O:2O,2O,,,1L,2,0.06000600060006
293,3,2,1,1,1,:1O:2O,:,1O1S,,1L,2,0.06000600060006
294,3,2,0,1,1,:1O:2O,:3O,,,1L,2,0.06000600060006
295,1,2,0,1,1,,:3O,,,1L,2,0.06000600060006
296,3,2,0,1,1,::1O,2O:2O,,,1L,2,0.06000600060006
297,4,1,0,1,1,:::1O,,,,1L,2,0.06000600060006
298,6,1,1,1,1,::::1O:2O,,1O,,1L,2,0.06000600060006
299,3,2,1,1,2,1O:1O:1O,:3O,2O1S,,1L:1L,2,0.06000600060006
300,2,4,0,1,1,:1O,:::,,,1L,2,0.06000600060006
301,3,2,1,1,2,1O:1O:1O,:2O,1O,,1L:1L,2,0.06000600060006
302,3,2,0,1,1,1O:1O:1O,:2O,,,1L,2,0.06000600060006
303,3,1,0,1,2,1O:1O:1O,3O,,,1L:1L,2,0.06000600060006
304,3,2,0,1,2,::1O,3O:3O,,,1L:1L,2,0.06000600060006
305,1,3,1,1,1,,::2O,2O1S,,1L,2,0.06000600060006
306,3,1,1,2,2,:1O:1O,3O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
307,1,2,1,1,2,1O,2O:3O,2O,,1L:1L,2,0.06000600060006
308,1,2,1,1,2,1O,2O:3O,,,1L:1L,2,0.06000600060006
