,num_dol,num_eips,num_tfsi,num_ps,num_li,atoms_dol,atoms_eips,atoms_tfsi,atoms_ps,atoms_li,count,%
557,3,4,0,1,1,:1O:1O,:1O:1O:2O1S,,,1L,1,0.03000300030003
558,3,4,0,1,1,:1O:1O,::1O:2O1S,,,1L,1,0.03000300030003
559,3,4,0,1,1,:1O:2O,::1O:1O,,,1L,1,0.03000300030003
560,3,4,0,1,1,:1O:2O,:::1O,,,1L,1,0.03000300030003
561,3,4,0,1,1,:1O:2O,:::1O1S,,,1L,1,0.03000300030003
562,3,4,0,1,1,::,:1O:1O1S:2O1S,,,1L,1,0.03000300030003
563,3,4,0,1,1,::,:1O:1O:2O1S,,,1L,1,0.03000300030003
564,3,3,1,1,1,::1O,1O:1O1S:2O1S,,,1L,1,0.03000300030003
565,3,3,1,1,1,::,:1O:1O1S,1O,,1L,1,0.03000300030003
566,3,4,0,1,1,::1O,:1O:1O:2O1S,,,1L,1,0.03000300030003
567,3,3,1,1,1,::,:1O:1O,1O,,1L,1,0.03000300030003
568,3,3,0,2,1,::,:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
569,3,3,0,2,1,::,:1O:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
570,3,3,0,2,1,::,:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
571,3,3,0,2,1,::1O,:1O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
572,3,3,0,2,1,::1O,:1O:1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
573,3,3,0,2,1,::1O,:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
574,3,3,0,2,1,::1O,:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
575,3,3,0,2,2,1O:1O:1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
576,3,3,0,2,2,:1O:1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
577,3,3,0,2,2,:1O:1O,1O:1O:1O1S,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
578,3,3,0,2,2,:1O:1O,:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
579,3,3,0,2,2,::1O,1O:1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
580,3,3,0,2,2,::1O,1O:1O:1O1S,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
581,3,3,1,1,0,::,::,,,,1,0.03000300030003
582,3,3,1,1,1,1O:1O:1O,:1O:1O1S,,,1L,1,0.03000300030003
583,3,3,1,1,1,1O:1O:1O,::1O,1O,,1L,1,0.03000300030003
584,3,3,1,1,1,:1O:1O,:1O:1O1S,,,1L,1,0.03000300030003
585,3,3,1,1,1,:1O:1O,::1O1S,1O,,1L,1,0.03000300030003
586,3,3,1,1,1,::,:1O:1O,,,1L,1,0.03000300030003
587,3,4,0,1,1,::,::1O:2O1S,,,1L,1,0.03000300030003
588,3,4,0,1,1,::1O,::1O1S:2O1S,,,1L,1,0.03000300030003
589,4,2,0,1,1,::1O:2O,:1O,,,1L,1,0.03000300030003
590,3,4,1,1,1,::2O,::1O:1O,,,1L,1,0.03000300030003
591,3,5,0,1,1,:1O:1O,::1O:1O:1O,,,1L,1,0.03000300030003
592,3,5,0,1,1,:1O:2O,:::1O:1O,,,1L,1,0.03000300030003
593,3,5,0,1,1,::1O,:::1O:2O1S,,,1L,1,0.03000300030003
594,3,5,0,2,1,::,:::1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
595,3,5,1,1,1,::,:::1O:1O,2O1S,,1L,1,0.03000300030003
596,3,6,0,1,1,::,:::1O:1O:1O,,,1L,1,0.03000300030003
597,3,6,0,1,1,::1O,::::1O:1O,,,1L,1,0.03000300030003
598,4,1,0,1,0,:::1O,,,,,1,0.03000300030003
599,4,1,0,1,1,1O:1O:1O:1O,1O,,,1L,1,0.03000300030003
600,4,1,0,1,1,1O:1O:1O:1O,1O1S,,,1L,1,0.03000300030003
601,4,1,0,1,1,:1O:1O:1O,1O,,,1L,1,0.03000300030003
602,4,1,0,1,1,::1O:2O,2O1S,,,1L,1,0.03000300030003
603,4,1,0,1,2,:1O:1O:1O,2O1S,,,1L:1L,1,0.03000300030003
604,4,1,1,1,1,:::1O,1O,1O,,1L,1,0.03000300030003
605,4,2,0,1,0,:::1O,:1O,,,,1,0.03000300030003
606,4,2,0,1,1,1O:1O:1O:1O,1O:1O1S,,,1L,1,0.03000300030003
607,4,2,0,1,1,1O:1O:1O:1O,:1O,,,1L,1,0.03000300030003
608,4,2,0,1,1,:1O:1O:1O,1O:2O1S,,,1L,1,0.03000300030003
609,4,2,0,1,1,::1O:1O,:1O1S,,,1L,1,0.03000300030003
610,3,5,0,1,0,::1O,::::,,,,1,0.03000300030003
611,3,4,1,1,1,::1O,::1O:1O1S,,,1L,1,0.03000300030003
612,3,4,0,1,1,::1O,:::1O1S,,,1L,1,0.03000300030003
613,3,4,1,1,1,::1O,::1O:1O,,,1L,1,0.03000300030003
614,3,4,0,1,1,::2O,::1O:2O,,,1L,1,0.03000300030003
615,3,4,0,1,2,::1O,1O:1O:1O:2O1S,,,1L:1L,1,0.03000300030003
616,3,4,0,2,1,::1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
617,3,4,0,2,1,::1O,::1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
618,3,4,0,2,1,::1O,::1O:1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
619,3,4,0,2,1,::1O,:::1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
620,3,4,0,2,1,::1O,:::1O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
621,3,4,0,2,1,::1O,:::2O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
622,3,4,0,2,2,:1O:1O,1O:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
623,3,4,0,2,2,:1O:1O,:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
624,3,4,0,2,2,::,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
625,3,4,0,2,2,::1O,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
626,3,4,0,2,2,::1O,1O:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
627,3,4,0,2,2,::1O,:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
628,3,4,1,1,1,:1O:1O,:::1O,,,1L,1,0.03000300030003
629,3,4,1,1,1,:1O:1O,:::1O,1O,,1L,1,0.03000300030003
630,3,4,1,1,1,::,:1O:1O:1O,,,1L,1,0.03000300030003
631,3,4,1,1,1,::,::1O:1O,1N3O1S,,1L,1,0.03000300030003
632,3,4,1,1,1,::1O,:1O:1O:1O1S,,,1L,1,0.03000300030003
633,2,6,0,1,1,:1O,::::1O:1O1S,,,1L,1,0.03000300030003
634,2,4,0,1,2,1O:1O,1O:1O:2O:2O1S,,,1L:1L,1,0.03000300030003
635,2,6,0,1,1,:1O,:::1O:1O:1O,,,1L,1,0.03000300030003
636,1,4,0,2,1,,::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
637,1,4,0,1,1,,::1O1S:1O1S,,,1L,1,0.03000300030003
638,1,4,0,1,1,,::1O:1O1S,,,1L,1,0.03000300030003
639,1,4,0,1,1,1O,1O:1O:1O:2O1S,,,1L,1,0.03000300030003
640,1,4,0,1,1,1O,:1O:1O1S:1O1S,,,1L,1,0.03000300030003
641,1,4,0,1,1,1O,::1O:2O1S,,,1L,1,0.03000300030003
642,1,4,0,1,1,1O,::2O1S:2O1S,,,1L,1,0.03000300030003
643,1,4,0,1,1,1O,:::1O1S,,,1L,1,0.03000300030003
644,1,4,0,1,1,2O,::1O:1O1S,,,1L,1,0.03000300030003
645,1,4,0,1,2,1O,1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
646,1,4,0,1,2,1O,1O:1O:1O:1O1S,,,1L:1L,1,0.03000300030003
647,1,4,0,2,1,,::1O:1O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
648,1,4,0,1,1,,:1O:1O1S:2O,,,1L,1,0.03000300030003
649,1,4,0,2,1,1O,:::1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
650,1,4,0,2,2,,1O:1O:1O1S:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
651,1,4,0,2,2,,1O:1O:1O1S:1O1S,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
652,1,4,0,2,2,,1O:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
653,1,4,0,2,2,,1O:1O:1O:2O1S,,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
654,1,4,0,2,2,1O,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
655,1,4,0,2,2,1O,1O:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
656,1,4,0,2,2,1O,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
657,1,4,0,2,2,1O,1O:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
658,1,4,0,2,2,1O,1O:1O:2O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
659,1,4,0,1,1,,:1O:1O1S:2O1S,,,1L,1,0.03000300030003
660,1,4,0,1,1,,:1O:1O1S:1O1S,,,1L,1,0.03000300030003
661,1,4,0,2,2,1O,:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
662,1,3,1,1,1,1O,:1O:1O1S,,,1L,1,0.03000300030003
663,1,3,1,1,1,,:1O:1O,,,1L,1,0.03000300030003
664,1,3,1,1,1,,:1O:1O,1N2O1S,,1L,1,0.03000300030003
665,1,3,1,1,1,,:1O:1O,1O,,1L,1,0.03000300030003
666,1,3,1,1,1,,:1O:1O1S,1N2O,,1L,1,0.03000300030003
667,1,3,1,1,1,,:1O:2O1S,1N2O2S,,1L,1,0.03000300030003
668,1,3,1,1,1,,:1O:2O1S,2O,,1L,1,0.03000300030003
669,1,3,1,1,1,,:1O:2O1S,2O1S,,1L,1,0.03000300030003
670,1,3,1,1,1,,::1O,1O,,1L,1,0.03000300030003
671,1,3,1,1,1,1O,1O:1O:1O1S,,,1L,1,0.03000300030003
672,1,3,1,1,1,1O,:1O:1O,1O,,1L,1,0.03000300030003
673,1,3,1,1,1,2O,:1O:1O,,,1L,1,0.03000300030003
674,1,4,0,1,1,,1O:1O:1O:1O,,,1L,1,0.03000300030003
675,1,3,1,1,2,1O,1O:1O1S:1O1S,2O1S,,1L:1L,1,0.03000300030003
676,1,3,1,1,2,1O,1O:1O:1O,2O,,1L:1L,1,0.03000300030003
677,1,3,1,1,3,1O,2O:2O1S:2O1S,2O1S,,1L:1L:1L,1,0.03000300030003
678,1,3,1,2,2,1O,1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
679,1,3,2,1,1,,:1O:1O,:2O1S,,1L,1,0.03000300030003
680,1,3,2,1,1,1O,:1O:1O,:2O1S,,1L,1,0.03000300030003
681,1,3,2,1,1,1O,::1O,:1O,,1L,1,0.03000300030003
682,1,3,2,1,2,1O,:1O1S:1O1S,:2O,,1L:1L,1,0.03000300030003
683,1,3,2,1,2,1O,:1O:1O1S,:2O1S,,1L:1L,1,0.03000300030003
684,1,4,0,1,0,,:::1O,,,,1,0.03000300030003
685,1,4,0,2,2,1O,:1O:1O1S:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
686,1,4,0,2,2,1O,:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
687,1,3,1,1,1,,1O:1O:1O1S,,,1L,1,0.03000300030003
688,1,5,0,1,0,,::::,,,,1,0.03000300030003
689,1,4,1,2,2,,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
690,1,4,1,2,2,,1O:1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
691,1,4,1,2,2,,1O:1O:1O:2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
692,1,4,1,2,2,,1O:1O:1O:2O1S,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
693,1,4,1,2,2,1O,1O:1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
694,1,4,1,2,2,1O,1O:1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
695,1,4,1,2,2,1O,1O:1O:1O:2O1S,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
696,1,4,1,2,3,,1O:1O:1O:2O1S,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
697,1,4,1,2,3,1O,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
698,1,4,1,2,3,1O,1O:1O:1O:2O1S,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
699,1,5,0,1,0,1O,::::,,,,1,0.03000300030003
700,1,4,1,1,3,1O,:2O:2O1S:2O1S,2O,,1L:1L:1L,1,0.03000300030003
701,1,5,0,1,1,,:1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
702,1,5,0,1,1,,:1O:1O:1O:1O,,,1L,1,0.03000300030003
703,1,5,0,1,1,,:1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
704,1,5,0,1,1,,:::1O:2O1S,,,1L,1,0.03000300030003
705,1,5,0,1,1,1O,::1O:1O:2O1S,,,1L,1,0.03000300030003
706,1,5,0,1,1,1O,:::1O1S:1O1S,,,1L,1,0.03000300030003
707,1,5,0,1,1,1O,:::1O1S:2O1S,,,1L,1,0.03000300030003
708,1,5,0,1,1,1O,:::1O:2O1S,,,1L,1,0.03000300030003
709,1,5,0,1,1,2O,:::1O:1O1S,,,1L,1,0.03000300030003
710,1,5,0,1,2,,:1O:1O:2O:2O1S,,,1L:1L,1,0.03000300030003
711,1,4,1,2,1,,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
712,1,4,1,1,2,2O,1O:1O:1O:1O1S,1O,,1L:1L,1,0.03000300030003
713,1,4,0,2,2,1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
714,1,4,1,1,1,2O,::1O:1O,2O1S,,1L,1,0.03000300030003
715,1,4,0,2,3,,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
716,1,4,1,1,1,,:1O:1O:2O1S,2O,,1L,1,0.03000300030003
717,1,4,1,1,1,,::1O1S:2O1S,1O,,1L,1,0.03000300030003
718,1,4,1,1,1,,::1O:2O,1O,,1L,1,0.03000300030003
719,1,4,1,1,1,,::1O:2O1S,2O1S,,1L,1,0.03000300030003
720,1,4,1,1,1,,:::1O,2O1S,,1L,1,0.03000300030003
721,1,4,1,1,1,1O,::1O:1O,2O1S,,1L,1,0.03000300030003
722,1,4,1,1,1,1O,::1O:1O1S,1O,,1L,1,0.03000300030003
723,1,4,1,1,1,1O,::1O:2O1S,1O,,1L,1,0.03000300030003
724,1,4,1,1,1,1O,:::1O,1O,,1L,1,0.03000300030003
725,1,4,1,1,2,,1O:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
726,1,4,1,1,2,2O,1O:1O:1O:1O,1O,,1L:1L,1,0.03000300030003
727,1,4,1,1,2,,1O:1O:1O:1O1S,1O,,1L:1L,1,0.03000300030003
728,1,4,1,1,2,,1O:1O:1O:2O1S,1O,,1L:1L,1,0.03000300030003
729,1,4,1,1,2,,:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
730,1,4,1,1,2,,::1O:1O,2O1S,,1L:1L,1,0.03000300030003
731,1,4,1,1,2,1O,1O:1O:1O:1O,1N2O1S,,1L:1L,1,0.03000300030003
732,1,4,1,1,2,1O,1O:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
733,1,4,1,1,2,1O,1O:1O:1O:1O,3O1S,,1L:1L,1,0.03000300030003
734,1,4,1,1,2,1O,1O:1O:1O:2O1S,,,1L:1L,1,0.03000300030003
735,1,4,1,1,2,1O,1O:1O:1O:2O1S,2O,,1L:1L,1,0.03000300030003
736,1,4,1,1,2,1O,:1O:2O1S:2O1S,2O1S,,1L:1L,1,0.03000300030003
737,1,3,1,1,1,,1O:1O:1O1S,1N2O2S,,1L,1,0.03000300030003
738,1,3,1,1,1,,1O:1O:1O,,,1L,1,0.03000300030003
739,2,6,0,1,1,:,:::1O:1O:2O1S,,,1L,1,0.03000300030003
740,0,5,0,2,2,,:1O:1O1S:2O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
741,0,4,1,2,2,,1O:1O:1O:1O,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
742,0,4,1,2,2,,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
743,0,4,1,2,2,,1O:1O:1O:2O1S,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
744,0,4,2,1,1,,::1O:1O1S,:1O,,1L,1,0.03000300030003
745,0,5,0,1,1,,::1O:1O1S:1O1S,,,1L,1,0.03000300030003
746,0,5,0,1,1,,::1O:1O:2O1S,,,1L,1,0.03000300030003
747,0,5,0,1,2,,:1O:1O:1O:1O1S,,,1L:1L,1,0.03000300030003
748,0,5,0,1,2,,:1O:1O:1O:2O1S,,,1L:1L,1,0.03000300030003
749,0,5,0,2,1,,:::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
750,0,5,0,2,2,,1O:1O:1O1S:1O1S:2O,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
751,0,5,0,2,2,,:1O:1O:1O1S:2O1S,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
752,0,4,1,1,2,,1O:1O:1O:2O1S,2O1S,,1L:1L,1,0.03000300030003
753,0,5,0,2,2,,:1O:1O:1O:1O,,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
754,0,5,0,2,2,,:1O:1O:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
755,0,5,0,2,2,,:1O:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
756,0,5,0,2,2,,:1O:2O:2O1S:2O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
757,0,5,0,2,2,,::1O:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
758,0,5,0,2,2,,::1O:1O:1O,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
759,0,5,0,2,3,,1O:1O:1O:1O1S:2O1S,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
760,0,5,0,2,3,,1O:1O:1O:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
761,0,5,0,2,3,,1O:1O:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
762,0,5,0,2,3,,:1O:1O1S:2O1S:2O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
763,0,4,1,2,2,,1O:1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
764,0,4,1,1,2,,1O:1O:1O:2O1S,1N2O2S,,1L:1L,1,0.03000300030003
765,0,5,0,2,3,,:1O:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
766,0,4,0,2,2,,1O:1O:1O:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
767,0,4,0,1,1,,:1O:1O1S:1O1S,,,1L,1,0.03000300030003
768,0,4,0,1,1,,::1O:1O,,,1L,1,0.03000300030003
769,0,4,0,1,1,,::1O:1O1S,,,1L,1,0.03000300030003
770,0,4,0,2,1,,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
771,0,4,0,2,1,,::1O:1O,,2S:2S:2S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
772,0,4,0,2,1,,::1O:1O1S,,2S:2S:2S:2S:2S:2S:3S:4S,1L,1,0.03000300030003
773,0,4,0,2,2,,1O:1O1S:2O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
774,0,4,0,2,2,,1O:1O:1O1S:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
775,0,4,0,2,2,,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
776,0,4,0,2,2,,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
777,0,4,0,2,2,,1O:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
778,0,4,1,1,2,,1O:1O:1O:1O1S,2O,,1L:1L,1,0.03000300030003
779,0,4,0,2,2,,1O:1O:2O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
780,0,4,0,2,2,,:1O:1O:2O1S,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
781,0,4,0,2,3,,1O:1O:1O1S:2O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
782,0,4,1,1,1,,::1O1S:1O1S,1O,,1L,1,0.03000300030003
783,0,4,1,1,1,,::1O:1O,2O1S,,1L,1,0.03000300030003
784,0,4,1,1,1,,::1O:1O,3O2S,,1L,1,0.03000300030003
785,0,4,1,1,1,,::1O:1O1S,1O,,1L,1,0.03000300030003
786,0,4,1,1,1,,::1O:2O1S,,,1L,1,0.03000300030003
787,0,4,1,1,2,,1O:1O:1O:1O,3O1S,,1L:1L,1,0.03000300030003
788,0,4,1,1,2,,1O:1O:1O:1O1S,1O,,1L:1L,1,0.03000300030003
789,0,5,0,2,3,,:1O:1O:1O:2O,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
790,0,5,0,2,3,,:1O:1O:2O1S:2O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
791,1,3,1,1,1,,1O:1O1S:2O1S,,,1L,1,0.03000300030003
792,1,3,0,1,0,,::1O,,,,1,0.03000300030003
793,0,5,1,2,2,,:1O:1O:1O:1O1S,1O,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
794,0,5,2,1,2,,1O:1O:1O:1O:1O1S,:1O,,1L:1L,1,0.03000300030003
795,0,6,0,1,1,,::1O:1O:1O:1O,,,1L,1,0.03000300030003
796,0,6,0,1,1,,::1O:1O:1O:1O1S,,,1L,1,0.03000300030003
797,0,6,0,2,2,,::1O:1O:1O:2O,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
798,0,6,1,1,1,,:::1O:1O:1O,,,1L,1,0.03000300030003
799,0,6,1,1,2,,:1O:1O:1O:1O1S:2O1S,2O1S,,1L:1L,1,0.03000300030003
