,num_dol,num_ems,num_tfsi,num_ps,num_li,atoms_dol,atoms_ems,atoms_tfsi,atoms_ps,atoms_li,count,%
0,6,5,0,1,1,:::1O:1O:1O,::1O:1O:1O1S,,,1L,52,1.56015601560156
1,6,4,0,1,1,:::1O:1O:1O,:1O:1O:1O1S,,,1L,44,1.32013201320132
2,7,5,0,1,1,::::1O:1O:1O,::1O:1O:1O1S,,,1L,43,1.29012901290129
3,7,4,0,1,1,::::1O:1O:1O,:1O:1O:1O1S,,,1L,40,1.2001200120012
4,7,4,0,1,1,::::1O:1O:1O,:1O:1O:1O,,,1L,38,1.14011401140114
5,7,4,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,35,1.05010501050105
6,7,5,0,1,1,::::1O:1O:1O,::1O:1O:1O,,,1L,33,0.99009900990099
7,7,5,0,1,1,:::1O:1O:1O:1O,::1O:1O:1O,,,1L,33,0.99009900990099
8,6,4,0,1,1,:::1O:1O:1O,:1O:1O:1O,,,1L,29,0.8700870087008701
9,7,5,0,1,1,:::1O:1O:1O:1O,::1O:1O:1O1S,,,1L,27,0.8100810081008101
10,5,5,0,1,1,::1O:1O:1O,::1O:1O:1O1S,,,1L,25,0.7500750075007501
11,6,5,0,1,1,:::1O:1O:1O,::1O:1O:1O,,,1L,25,0.7500750075007501
12,5,4,0,1,1,::1O:1O:1O,:1O:1O1S:1O1S,,,1L,22,0.6600660066006601
13,7,6,0,1,1,::::1O:1O:1O,:::1O:1O:1O1S,,,1L,21,0.6300630063006301
14,6,4,0,1,1,::1O:1O:1O:1O,:1O:1O:1O,,,1L,21,0.6300630063006301
15,7,6,0,1,1,::::1O:1O:1O,:::1O:1O:1O,,,1L,21,0.6300630063006301
16,5,4,0,1,1,::1O:1O:1O,:1O:1O:1O1S,,,1L,20,0.6000600060006
17,7,4,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O,,,1L,20,0.6000600060006
18,6,4,0,1,1,::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,20,0.6000600060006
19,8,5,0,1,1,:::::1O:1O:1O,::1O:1O:1O,,,1L,19,0.57005700570057
20,8,5,0,1,1,::::1O:1O:1O:1O,::1O:1O:1O,,,1L,19,0.57005700570057
21,6,3,0,1,1,:::1O:1O:1O,1O:1O:1O1S,,,1L,18,0.54005400540054
22,8,6,0,1,1,:::::1O:1O:1O,:::1O:1O:1O,,,1L,18,0.54005400540054
23,6,4,0,1,1,:::1O:1O:1O,:1O:1O1S:1O1S,,,1L,18,0.54005400540054
24,6,3,0,1,0,:::::,::,,,,18,0.54005400540054
25,8,4,0,1,1,::::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,17,0.51005100510051
26,6,6,0,1,1,:::1O:1O:1O,:::1O:1O:1O1S,,,1L,17,0.51005100510051
27,6,5,0,1,1,:::1O:1O:2O,::1O:1O:2O1S,,,1L,16,0.48004800480048
28,8,4,0,1,1,:::::1O:1O:1O,:1O:1O:1O,,,1L,16,0.48004800480048
29,6,4,0,1,0,:::::,:::,,,,14,0.42004200420042
30,8,5,0,1,1,::::1O:1O:1O:1O,::1O:1O:1O1S,,,1L,13,0.39003900390039
31,7,3,0,1,0,::::::,::,,,,13,0.39003900390039
32,8,5,0,1,1,:::::1O:1O:1O,::1O:1O:1O1S,,,1L,13,0.39003900390039
33,7,3,0,1,1,::::1O:1O:1O,1O:1O:1O1S,,,1L,13,0.39003900390039
34,7,4,0,1,0,::::::,:::,,,,13,0.39003900390039
35,6,4,1,1,1,:::1O:1O:1O,:1O:1O:1O1S,,,1L,13,0.39003900390039
36,7,4,0,1,1,::::1O:1O:1O,::1O:1O,,,1L,12,0.36003600360036
37,6,5,0,1,1,::1O:1O:1O:1O,::1O:1O:1O1S,,,1L,12,0.36003600360036
38,6,5,0,1,1,:::1O:1O:2O,::1O:1O1S:2O1S,,,1L,12,0.36003600360036
39,6,4,0,1,0,:::::1O,:::,,,,12,0.36003600360036
40,8,4,0,1,1,:::::1O:1O:1O,:1O:1O:1O1S,,,1L,12,0.36003600360036
41,6,3,0,1,1,::1O:1O:1O:1O,1O:1O:1O1S,,,1L,12,0.36003600360036
42,7,6,0,1,1,::::1O:1O:2O,:::1O:1O:2O1S,,,1L,12,0.36003600360036
43,6,4,0,1,1,::1O:1O:1O:1O,:1O:1O1S:1O1S,,,1L,12,0.36003600360036
44,8,6,0,1,1,:::::1O:1O:1O,:::1O:1O:1O1S,,,1L,11,0.33003300330033
45,7,4,0,1,0,::::::1O,:::,,,,11,0.33003300330033
46,7,5,0,1,1,::::1O:1O:1O,::1O:1O1S:1O1S,,,1L,11,0.33003300330033
47,6,5,1,1,1,:::1O:1O:1O,::1O:1O:1O1S,,,1L,11,0.33003300330033
48,8,7,0,1,1,:::::1O:1O:1O,::::1O:1O:1O1S,,,1L,11,0.33003300330033
49,5,4,0,1,1,::1O:1O:1O,:1O:1O:1O,,,1L,11,0.33003300330033
50,6,5,0,1,1,:::1O:1O:1O,::1O:1O1S:1O1S,,,1L,11,0.33003300330033
51,6,5,0,1,1,::1O:1O:1O:1O,:1O:1O:1O1S:1O1S,,,1L,10,0.3000300030003
52,4,4,0,1,1,:1O:1O:1O,:1O:1O1S:1O1S,,,1L,10,0.3000300030003
53,6,2,0,1,0,:::::1O,:,,,,10,0.3000300030003
54,7,5,0,1,1,::::1O:1O:2O,::1O:1O:2O1S,,,1L,10,0.3000300030003
55,6,4,0,1,1,:::1O:1O:2O,:1O:1O1S:2O1S,,,1L,9,0.27002700270027
56,5,3,0,1,1,::1O:1O:1O,1O:1O1S:1O1S,,,1L,9,0.27002700270027
57,6,4,0,1,1,:::1O:1O:1O,::1O:1O,,,1L,9,0.27002700270027
58,8,4,0,1,1,::::1O:1O:1O:1O,:1O:1O:1O,,,1L,9,0.27002700270027
59,5,3,0,1,1,::1O:1O:1O,1O:1O:1O1S,,,1L,9,0.27002700270027
60,7,5,0,1,1,::::1O:1O:2O,::1O:1O1S:2O1S,,,1L,9,0.27002700270027
61,7,5,0,1,0,::::::,::::,,,,9,0.27002700270027
62,6,3,0,1,1,::1O:1O:1O:1O,1O:1O1S:1O1S,,,1L,9,0.27002700270027
63,7,4,0,1,1,::1O:1O:1O:1O:1O,:1O:1O:1O,,,1L,9,0.27002700270027
64,7,6,0,1,1,:::1O:1O:1O:1O,:::1O:1O:1O1S,,,1L,9,0.27002700270027
65,7,3,0,1,1,:::1O:1O:1O:1O,1O:1O:1O,,,1L,9,0.27002700270027
66,7,4,0,1,1,:::1O:1O:1O:1O,:1O:1O1S:1O1S,,,1L,9,0.27002700270027
67,7,2,0,1,0,::::::1O,:,,,,9,0.27002700270027
68,7,3,0,1,0,::::::1O,::,,,,9,0.27002700270027
69,5,4,0,1,1,:1O:1O:1O:1O,:1O:1O1S:1O1S,,,1L,8,0.24002400240024
70,5,4,0,1,1,:1O:1O:1O:1O,:1O:1O:1O1S,,,1L,8,0.24002400240024
71,6,4,0,1,1,:::1O:1O:2O,:1O:1O:2O1S,,,1L,8,0.24002400240024
72,5,4,1,1,1,::1O:1O:1O,:1O:1O:1O1S,,,1L,8,0.24002400240024
73,7,3,0,1,1,:::1O:1O:1O:1O,1O:1O:1O1S,,,1L,8,0.24002400240024
74,6,4,0,1,1,:::1O:1O:2O,::1O:2O1S,,,1L,7,0.21002100210021
75,6,5,0,1,1,::1O:1O:1O:1O,:1O:1O:1O:1O1S,,,1L,7,0.21002100210021
76,8,7,0,1,1,:::::1O:1O:1O,::::1O:1O:1O,,,1L,7,0.21002100210021
77,7,4,0,1,1,:::1O:1O:1O:1O,::1O:1O,,,1L,7,0.21002100210021
78,6,4,0,1,1,:::1O:1O:1O,::1O:1O1S,,,1L,7,0.21002100210021
79,5,4,0,1,1,::1O:1O:2O,:1O:1O1S:2O1S,,,1L,7,0.21002100210021
80,6,2,0,1,0,:::::,:,,,,7,0.21002100210021
81,7,4,0,1,1,::::1O:1O:1O,:1O:1O1S:1O1S,,,1L,7,0.21002100210021
82,5,3,0,1,0,::::,::,,,,7,0.21002100210021
83,7,4,0,2,1,:::::1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,7,0.21002100210021
84,6,3,0,1,1,::1O:1O:1O:1O,:1O:1O,,,1L,7,0.21002100210021
85,6,3,0,1,1,:::1O:1O:1O,1O:1O:1O,,,1L,7,0.21002100210021
86,7,4,0,1,1,::::1O:1O:2O,:1O:1O:2O1S,,,1L,7,0.21002100210021
87,6,6,0,1,1,:::1O:1O:2O,:::1O:1O:2O1S,,,1L,7,0.21002100210021
88,7,6,0,1,1,:::1O:1O:1O:1O,::1O:1O:1O:1O1S,,,1L,7,0.21002100210021
89,6,3,0,1,1,:::1O:1O:1O,:1O:1O1S,,,1L,7,0.21002100210021
90,6,3,0,1,0,:::::1O,::,,,,7,0.21002100210021
91,7,5,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O:1O,,,1L,7,0.21002100210021
92,7,4,1,1,1,::::1O:1O:1O,:1O:1O:1O,,,1L,6,0.18001800180018
93,5,4,0,2,1,:::1O:1O,::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,6,0.18001800180018
94,6,4,1,1,1,::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,6,0.18001800180018
95,7,7,0,1,1,::::1O:1O:1O,::::1O:1O:1O,,,1L,6,0.18001800180018
96,5,4,0,1,2,:1O:1O:2O:2O,1O:1O:2O1S:2O1S,,,1L:1L,6,0.18001800180018
97,6,5,0,1,1,::1O:1O:1O:1O,::1O:1O:1O,,,1L,6,0.18001800180018
98,7,3,0,1,1,::::1O:1O:1O,1O:1O:1O,,,1L,6,0.18001800180018
99,7,4,0,1,1,::1O:1O:1O:1O:1O,:1O:1O:1O1S,,,1L,6,0.18001800180018
100,6,5,0,1,0,:::::,::::,,,,6,0.18001800180018
101,8,6,0,1,1,::::1O:1O:1O:1O,:::1O:1O:1O,,,1L,6,0.18001800180018
102,7,5,0,1,1,:::1O:1O:1O:2O,::1O:1O:2O1S,,,1L,6,0.18001800180018
103,7,6,0,1,2,:1O:1O:1O:1O:1O:1O,1O:1O:1O:1O:1O:1O1S,,,1L:1L,6,0.18001800180018
104,5,4,0,1,1,::1O:1O:1O,::1O:1O1S,,,1L,6,0.18001800180018
105,6,4,0,2,1,::::1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,6,0.18001800180018
106,6,6,0,1,1,:::1O:1O:1O,:::1O:1O1S:1O1S,,,1L,6,0.18001800180018
107,7,7,0,1,2,:1O:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O:1O1S,,,1L:1L,6,0.18001800180018
108,7,4,0,2,1,::::1O:1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,6,0.18001800180018
109,6,6,0,1,1,:::1O:1O:1O,:::1O:1O:1O,,,1L,6,0.18001800180018
110,5,5,0,1,1,::1O:1O:1O,::1O:1O1S:1O1S,,,1L,6,0.18001800180018
111,8,4,0,1,0,:::::::,:::,,,,6,0.18001800180018
112,8,3,0,1,1,:::::1O:1O:1O,1O:1O:1O1S,,,1L,6,0.18001800180018
113,5,4,1,1,1,::1O:1O:1O,:1O:1O1S:1O1S,,,1L,6,0.18001800180018
114,7,6,0,1,1,:::1O:1O:1O:1O,::1O:1O:1O:1O,,,1L,6,0.18001800180018
115,5,3,0,1,1,:1O:1O:1O:1O,1O:1O:1O1S,,,1L,6,0.18001800180018
116,8,3,0,1,0,:::::::,::,,,,6,0.18001800180018
117,6,4,0,1,1,:1O:1O:1O:1O:1O,1O:1O:1O:1O1S,,,1L,5,0.15001500150015
118,6,4,0,1,1,:1O:1O:1O:1O:1O,:1O:1O:1O,,,1L,5,0.15001500150015
119,5,3,0,1,0,::::1O,::,,,,5,0.15001500150015
120,7,5,0,1,0,::::::1O,::::,,,,5,0.15001500150015
121,6,3,1,1,1,:::1O:1O:1O,:1O:1O,1O,,1L,5,0.15001500150015
122,8,6,0,1,1,:::::1O:1O:2O,:::1O:1O:2O1S,,,1L,5,0.15001500150015
123,6,3,0,1,1,:::1O:1O:2O,:1O:2O1S,,,1L,5,0.15001500150015
124,8,3,0,1,0,:::::::1O,::,,,,5,0.15001500150015
125,7,3,0,1,1,:::1O:1O:1O:1O,:1O:1O,,,1L,5,0.15001500150015
126,6,3,0,1,1,:::1O:1O:1O,1O:1O1S:1O1S,,,1L,5,0.15001500150015
127,5,4,1,1,1,::1O:1O:1O,:1O:1O:1O,,,1L,5,0.15001500150015
128,8,6,0,1,1,::::1O:1O:1O:1O,:::1O:1O:1O1S,,,1L,5,0.15001500150015
129,5,4,1,1,0,::::,:::,,,,5,0.15001500150015
130,5,4,0,1,0,::::,:::,,,,5,0.15001500150015
131,7,5,0,1,1,:::1O:1O:1O:1O,::1O:1O1S:1O1S,,,1L,5,0.15001500150015
132,7,4,0,1,0,::::::1O,:::1O,,,,5,0.15001500150015
133,7,6,0,1,1,:::1O:1O:1O:1O,::1O:1O:1O1S:1O1S,,,1L,5,0.15001500150015
134,5,2,0,1,0,::::1O,:,,,,5,0.15001500150015
135,5,5,0,1,1,:1O:1O:1O:1O,:1O:1O:1O1S:1O1S,,,1L,4,0.12001200120012
136,5,5,0,1,1,:1O:1O:1O:1O,:1O:1O:1O:1O,,,1L,4,0.12001200120012
137,6,3,0,1,1,:1O:1O:1O:1O:1O,1O:1O:1O1S,,,1L,4,0.12001200120012
138,5,4,0,1,1,:1O:1O:1O:1O,1O:1O:1O1S:1O1S,,,1L,4,0.12001200120012
139,5,5,0,1,1,::1O:1O:2O,::1O:1O:2O1S,,,1L,4,0.12001200120012
140,6,4,0,1,1,::1O:1O:1O:1O,1O:1O:1O1S:1O1S,,,1L,4,0.12001200120012
141,7,5,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O:1O1S,,,1L,4,0.12001200120012
142,8,3,0,1,1,::::1O:1O:1O:1O,1O:1O:1O,,,1L,4,0.12001200120012
143,6,5,0,1,1,::1O:1O:1O:1O,:1O:1O1S:1O1S:1O1S,,,1L,4,0.12001200120012
144,5,4,0,1,1,:1O:1O:1O:2O,1O:1O1S:1O1S:2O1S,,,1L,4,0.12001200120012
145,5,5,0,1,0,::::,::::,,,,4,0.12001200120012
146,7,5,1,1,1,::::1O:1O:1O,::1O:1O:1O1S,1O,,1L,4,0.12001200120012
147,8,3,0,1,1,:::::1O:1O:1O,:1O:1O,,,1L,4,0.12001200120012
148,6,3,0,1,1,:::1O:1O:1O,:1O:1O,,,1L,4,0.12001200120012
149,7,7,0,1,1,::::1O:1O:1O,::::1O:1O:1O1S,,,1L,4,0.12001200120012
150,5,4,1,1,1,:1O:1O:1O:1O,:1O:1O:1O1S,,,1L,4,0.12001200120012
151,6,4,0,2,1,:::1O:1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,4,0.12001200120012
152,6,4,0,2,1,::::1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,4,0.12001200120012
153,5,4,0,2,1,:::1O:1O,::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L,4,0.12001200120012
154,6,4,0,1,1,:1O:1O:1O:1O:1O,:1O:1O:1O1S,,,1L,4,0.12001200120012
155,6,4,1,1,1,::1O:1O:1O:1O,:1O:1O:1O,,,1L,4,0.12001200120012
156,5,5,1,1,1,::1O:1O:1O,::1O:1O:1O,,,1L,4,0.12001200120012
157,6,4,1,1,1,:::1O:1O:1O,:1O:1O:1O,,,1L,4,0.12001200120012
158,6,4,1,1,1,:::1O:1O:1O,:1O:1O:1O1S,1O,,1L,4,0.12001200120012
159,6,4,1,1,1,:::1O:1O:1O,::1O:1O1S,,,1L,4,0.12001200120012
160,6,4,0,1,0,:::::1O,:::1O,,,,4,0.12001200120012
161,6,4,1,1,1,:::1O:1O:1O,::1O:1O1S,1O,,1L,4,0.12001200120012
162,6,4,1,1,1,::::1O:1O,::1O:1O1S,1O,,1L,4,0.12001200120012
163,8,2,0,1,0,:::::::1O,:,,,,4,0.12001200120012
164,6,2,0,1,0,::::1O:1O,:,,,,4,0.12001200120012
165,8,4,0,1,1,:::1O:1O:1O:1O:1O,:1O:1O:1O1S,,,1L,4,0.12001200120012
166,5,4,0,1,1,::1O:1O:2O,:1O:1O:2O1S,,,1L,4,0.12001200120012
167,7,6,0,1,2,:1O:1O:1O:1O:1O:1O,1O:1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
168,7,6,0,1,1,:::1O:1O:1O:1O,:::1O:1O:1O,,,1L,4,0.12001200120012
169,7,6,0,1,2,:1O:1O:1O:1O:1O:2O,1O:1O:1O:1O:1O1S:2O1S,,,1L:1L,4,0.12001200120012
170,7,5,0,2,1,:::::1O:1O,:::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,4,0.12001200120012
171,8,5,0,1,1,::::1O:1O:1O:2O,::1O:1O:2O1S,,,1L,4,0.12001200120012
172,6,5,0,1,1,:::1O:1O:1O,:::1O:1O1S,,,1L,4,0.12001200120012
173,7,3,0,1,1,::::1O:1O:1O,:1O:1O,,,1L,4,0.12001200120012
174,6,5,1,1,1,:::1O:1O:1O,::1O:1O1S:1O1S,,,1L,4,0.12001200120012
175,7,4,0,2,1,:::::1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,4,0.12001200120012
176,7,4,0,1,1,:::1O:1O:1O:2O,:1O:1O1S:2O1S,,,1L,4,0.12001200120012
177,8,7,0,1,2,::1O:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
178,5,3,1,1,0,::::,::,,,,4,0.12001200120012
179,6,5,1,1,1,::1O:1O:1O:1O,::1O:1O1S:1O1S,,,1L,4,0.12001200120012
180,5,3,0,1,1,::1O:1O:1O,:1O:1O1S,,,1L,4,0.12001200120012
181,7,4,0,1,1,:::1O:1O:1O:2O,:1O:1O:2O1S,,,1L,4,0.12001200120012
182,7,4,1,1,1,:::::1O:1O,::1O:1O,1O,,1L,4,0.12001200120012
183,6,5,1,1,1,:::1O:1O:1O,::1O:1O:1O,,,1L,4,0.12001200120012
184,6,5,0,1,1,:::1O:1O:1O,:::1O:1O,,,1L,4,0.12001200120012
185,7,2,0,1,0,::::::,:,,,,4,0.12001200120012
186,5,3,0,2,1,:::1O:1O,:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,4,0.12001200120012
187,7,4,0,1,1,::::1O:1O:1O,::1O:1O1S,,,1L,4,0.12001200120012
188,6,6,0,1,1,::1O:1O:1O:1O,::1O:1O:1O1S:1O1S,,,1L,4,0.12001200120012
189,7,5,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O1S:1O1S,,,1L,4,0.12001200120012
190,6,6,0,1,1,:::1O:1O:2O,:::1O:1O1S:2O1S,,,1L,4,0.12001200120012
191,6,5,0,1,1,::1O:1O:1O:2O,:1O:1O:1O:2O1S,,,1L,4,0.12001200120012
192,7,4,0,1,1,::::1O:1O:2O,:1O:1O1S:2O1S,,,1L,4,0.12001200120012
193,7,3,0,1,0,:::::1O:1O,::,,,,4,0.12001200120012
194,6,5,1,1,1,::1O:1O:1O:1O,::1O:1O:1O1S,,,1L,3,0.09000900090009
195,5,4,1,1,1,::1O:1O:1O,::1O:1O1S,,,1L,3,0.09000900090009
196,6,4,0,2,1,::::1O:1O,::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
197,5,5,1,1,1,::1O:1O:1O,::1O:1O:1O1S,1O,,1L,3,0.09000900090009
198,6,4,0,2,1,::::1O:1O,::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
199,5,3,0,1,1,:1O:1O:1O:1O,:1O:1O1S,,,1L,3,0.09000900090009
200,8,7,0,1,1,:::::1O:1O:2O,::::1O:1O:2O1S,,,1L,3,0.09000900090009
201,5,3,0,1,1,:::1O:1O,:1O:1O1S,,,1L,3,0.09000900090009
202,8,7,0,1,1,::::1O:1O:1O:1O,:::1O:1O:1O:1O,,,1L,3,0.09000900090009
203,5,3,0,1,1,::1O:1O:1O,1O:1O:1O,,,1L,3,0.09000900090009
204,5,4,1,1,1,::1O:1O:1O,:1O:1O1S:1O1S,1O,,1L,3,0.09000900090009
205,7,4,1,1,1,:::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,3,0.09000900090009
206,9,5,0,1,1,::::::1O:1O:1O,::1O:1O:1O,,,1L,3,0.09000900090009
207,6,4,0,1,1,::::1O:1O,::1O:1O,,,1L,3,0.09000900090009
208,6,3,0,2,1,::::1O:1O,::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
209,7,4,0,1,1,:::1O:1O:1O:1O,::1O:1O1S,,,1L,3,0.09000900090009
210,5,3,0,1,0,::::1O,::1O,,,,3,0.09000900090009
211,8,4,0,1,0,:::::::1O,:::,,,,3,0.09000900090009
212,8,4,0,1,1,:::1O:1O:1O:1O:1O,:1O:1O:1O,,,1L,3,0.09000900090009
213,5,3,0,1,0,::::1O,::1O1S,,,,3,0.09000900090009
214,4,4,1,1,0,:::,:::,,,,3,0.09000900090009
215,7,4,0,1,1,::::1O:1O:2O,::1O:2O1S,,,1L,3,0.09000900090009
216,8,8,0,1,1,:::::1O:1O:2O,:::::1O:1O:2O1S,,,1L,3,0.09000900090009
217,5,5,0,1,1,:1O:1O:1O:2O,:1O:1O:1O1S:2O1S,,,1L,3,0.09000900090009
218,6,6,0,1,2,1O:1O:1O:1O:1O:2O,1O:1O:1O:1O:1O1S:2O1S,,,1L:1L,3,0.09000900090009
219,4,4,0,1,1,:1O:1O:1O,:1O:1O:1O1S,,,1L,3,0.09000900090009
220,8,8,0,1,1,:::::1O:1O:1O,:::::1O:1O:1O,,,1L,3,0.09000900090009
221,8,3,0,1,1,:::1O:1O:1O:1O:1O,:1O:1O,,,1L,3,0.09000900090009
222,6,6,0,1,0,:::::1O,:::::1O,,,,3,0.09000900090009
223,5,5,0,1,0,::::1O,::::1O,,,,3,0.09000900090009
224,4,4,0,1,1,:1O:1O:1O,:1O1S:1O1S:1O1S,,,1L,3,0.09000900090009
225,9,4,0,1,1,::::::1O:1O:1O,:1O:1O:1O,,,1L,3,0.09000900090009
226,8,7,0,1,2,::1O:1O:1O:1O:1O:2O,:1O:1O:1O:1O:1O:2O1S,,,1L:1L,3,0.09000900090009
227,8,3,0,1,1,:::::1O:1O:1O,1O:1O:1O,,,1L,3,0.09000900090009
228,7,6,0,1,1,:::1O:1O:1O:2O,::1O:1O:1O1S:2O1S,,,1L,3,0.09000900090009
229,8,7,0,1,2,::1O:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O:1O1S,,,1L:1L,3,0.09000900090009
230,7,6,0,1,1,:::1O:1O:1O:2O,::1O:1O:1O:2O1S,,,1L,3,0.09000900090009
231,6,4,0,1,1,::1O:1O:1O:2O,:1O:1O1S:2O1S,,,1L,3,0.09000900090009
232,7,6,0,1,1,:::1O:1O:1O:2O,:::1O:1O1S:2O1S,,,1L,3,0.09000900090009
233,6,4,0,1,1,::1O:1O:1O:2O,:1O:1O:1O1S,,,1L,3,0.09000900090009
234,6,5,0,2,1,::::1O:1O,:::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
235,7,6,0,1,0,::::::,:::::,,,,3,0.09000900090009
