num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,2,1,0,1,1O,1O:1O,1O,,,2106,10.638512830874925,Cluster_003_145.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,1988,10.042432814710043,Cluster_065_078.xyz
1,2,0,1,1,1O,1O:1O,,1S,,1746,8.819963629015962,Cluster_068_052.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1604,8.102646999393817,Cluster_098_073.xyz
2,1,0,1,1,1O:1O,1O,,1S,,1544,7.7995554657506565,Cluster_051_037.xyz
1,1,1,1,1,1O,1O,1O,1S,,1117,5.6425540513235,Cluster_034_148.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,1039,5.248535057587391,Cluster_032_109.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,1004,5.071731662962215,Cluster_097_077.xyz
2,1,1,0,1,1O:1O,1O,1O,,,878,4.435239442311578,Cluster_086_102.xyz
2,0,1,1,1,1O:1O,,1O,1S,,587,2.965245504142251,Cluster_058_116.xyz
0,2,1,1,1,,1O:1O,1O,1S,,580,2.9298848252172154,Cluster_038_169.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,559,2.8238027884421095,Cluster_001_011.xyz
1,1,2,0,1,1O,1O,1O:1O,,,384,1.9397858153162255,Cluster_009_035.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,373,1.8842190341483127,Cluster_062_087.xyz
1,1,0,1,1,1O,1O,,1S,,348,1.7579308951303294,Cluster_000_055.xyz
0,2,0,1,1,,1O:1O,,1S,,272,1.3740149525156597,Cluster_092_169.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,252,1.272984441301273,Cluster_015_175.xyz
1,2,0,0,1,1O,1O:1O,,,,239,1.2073146090119216,Cluster_037_044.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,237,1.197211557890483,Cluster_032_080.xyz
0,3,0,0,1,,1O:1O:1O,,,,151,0.7627803596686199,Cluster_037_017.xyz
2,1,0,0,1,1O:1O,1O,,,,150,0.7577288341079006,Cluster_081_034.xyz
2,0,0,1,1,1O:1O,,,1S,,147,0.7425742574257426,Cluster_043_096.xyz
1,1,1,0,1,1O,1O,1O,,,122,0.6162861184077592,Cluster_009_096.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,118,0.5960800161648818,Cluster_037_188.xyz
1,1,0,1,1,1O,1O,,2S,,105,0.5304101838755304,Cluster_020_006.xyz
0,2,0,1,1,,1O:1O,,2S,,91,0.4596888260254597,Cluster_029_015.xyz
0,1,2,1,1,,1O,1O:1O,1S,,88,0.44453424934330166,Cluster_053_163.xyz
0,2,1,0,1,,1O:1O,1O,,,88,0.44453424934330166,Cluster_025_050.xyz
1,0,2,1,1,1O,,1O:1O,1S,,86,0.434431198221863,Cluster_002_024.xyz
0,1,1,1,1,,1O,1O,1S,,81,0.4091735704182663,Cluster_034_116.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,79,0.39907051929682763,Cluster_068_183.xyz
1,0,1,1,1,1O,,1O,1S,,76,0.3839159426146696,Cluster_077_079.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,76,0.3839159426146696,Cluster_076_075.xyz
0,1,1,1,1,,1O,2O,1S,,58,0.29298848252172155,Cluster_096_178.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,58,0.29298848252172155,Cluster_097_191.xyz
1,0,1,1,1,1O,,2O,1S,,53,0.26773085471812486,Cluster_030_045.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,50,0.2525762780359669,Cluster_009_137.xyz
2,0,0,1,1,1O:1O,,,2S,,48,0.2424732269145282,Cluster_068_006.xyz
2,0,1,0,1,1O:1O,,1O,,,44,0.22226712467165083,Cluster_050_077.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,41,0.20711254798949283,Cluster_079_087.xyz
1,1,1,0,1,1O,1O,2O,,,41,0.20711254798949283,Cluster_041_016.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,39,0.19700949686805416,Cluster_015_153.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,39,0.19700949686805416,Cluster_013_177.xyz
1,0,1,1,1,1O,,1O,2S,,37,0.18690644574661547,Cluster_094_021.xyz
1,1,2,0,1,1O,1O,1O:2O,,,37,0.18690644574661547,Cluster_079_035.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,36,0.18185492018589614,Cluster_024_140.xyz
1,0,0,1,1,1O,,,2S,,33,0.16670034350373814,Cluster_098_096.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,33,0.16670034350373814,Cluster_051_018.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,32,0.1616488179430188,Cluster_068_153.xyz
0,2,1,0,1,,1O:1O,2O,,,31,0.15659729238229944,Cluster_065_136.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,30,0.1515457668215801,Cluster_094_039.xyz
3,0,0,0,1,1O:1O:1O,,,,,28,0.14144271570014144,Cluster_027_030.xyz
1,1,1,1,1,1O,1O,1O,2S,,25,0.12628813901798344,Cluster_043_178.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,24,0.1212366134572641,Cluster_089_174.xyz
0,1,1,1,1,,1O,1O,2S,,24,0.1212366134572641,Cluster_005_136.xyz
1,2,1,0,1,1O,1O:1O,2O,,,23,0.11618508789654476,Cluster_014_186.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,22,0.11113356233582541,Cluster_027_083.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,21,0.10608203677510608,Cluster_084_130.xyz
2,1,0,1,1,1O:1O,1O,,2S,,21,0.10608203677510608,Cluster_097_092.xyz
2,0,1,1,1,1O:1O,,1O,2S,,20,0.10103051121438675,Cluster_065_173.xyz
1,2,2,0,1,1O,1O:1O,1O:1O,,,20,0.10103051121438675,Cluster_019_137.xyz
1,1,0,0,1,1O,1O,,,,20,0.10103051121438675,Cluster_032_101.xyz
0,2,0,1,1,,1O:1O,,3S,,20,0.10103051121438675,Cluster_005_163.xyz
1,0,0,1,1,1O,,,1S,,19,0.0959789856536674,Cluster_040_177.xyz
0,3,1,0,1,,1O:1O:1O,2O,,,19,0.0959789856536674,Cluster_061_134.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,17,0.08587593453222873,Cluster_074_039.xyz
1,2,0,1,1,1O,1O:1O,,2S,,17,0.08587593453222873,Cluster_069_001.xyz
0,2,2,0,1,,1O:1O,1O:2O,,,16,0.0808244089715094,Cluster_003_014.xyz
0,1,2,0,1,,1O,1O:2O,,,16,0.0808244089715094,Cluster_059_042.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,15,0.07577288341079005,Cluster_100_064.xyz
2,1,1,0,1,1O:1O,1O,2O,,,15,0.07577288341079005,Cluster_091_166.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,14,0.07072135785007072,Cluster_074_134.xyz
0,1,0,1,1,,1O,,1S,,12,0.06061830672863205,Cluster_012_148.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_032_153.xyz
0,2,1,1,1,,1O:1O,1O,2S,,10,0.050515255607193374,Cluster_093_123.xyz
0,1,0,1,1,,1O,,2S,,10,0.050515255607193374,Cluster_090_096.xyz
0,2,0,0,1,,1O:1O,,,,9,0.045463730046474034,Cluster_099_052.xyz
0,3,0,1,1,,1O:1O:1O,,2S,,9,0.045463730046474034,Cluster_005_193.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,8,0.0404122044857547,Cluster_001_127.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,8,0.0404122044857547,Cluster_095_033.xyz
2,0,1,0,1,1O:1O,,2O,,,8,0.0404122044857547,Cluster_087_025.xyz
1,1,0,1,1,1O,1O,,3S,,8,0.0404122044857547,Cluster_064_193.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_096_030.xyz
0,3,2,0,1,,1O:1O:1O,1O:1O,,,7,0.03536067892503536,Cluster_005_117.xyz
0,1,2,0,1,,1O,1O:1O,,,7,0.03536067892503536,Cluster_034_095.xyz
0,1,1,1,1,,1O,2O,2S,,6,0.030309153364316024,Cluster_005_018.xyz
0,2,3,0,1,,1O:1O,1O:1O:1O,,,6,0.030309153364316024,Cluster_012_079.xyz
